Objective,Sample_Year,Date,Site,Plot,Team,Status,Core_collected,Well_placed,Hobos_placed,Notes,
Winter/ Spring Offloads 2022-2023,2023,2/22/2023,Mary Creek,"A, B, C","AJH, AND, KH, LU, KA",Offloads at A-C,,,,,
"Fall Offloads, Year 2 Regen",2023,2/23/2023,Reef Bay,"A, B, C","AND, LP, AJH, KA","Offloads at A-C (YSI included), Regen at A-C",N,N,N,,
Winter/ Spring Offloads 2022-2023,2023,2/23/2023,Reef Bay,"A, B, C","AND, KA, AJH, LP",Offloads at A-C,,,,,
Summer Offloads 2023,2023,7/12/2023,Salt River,"A, B, C ","LU, KWG, DG, JS, KH, AJH, AD",Offloads at A-C,N,N,Y,,
Summer Offloads 2023,2023,7/12/2023,SouthGate,"A, B, C","LU, KWG, DG, JS, KH, AJH, AD",Offloads at A-C,N,N,Y,,
Summer Offloads 2023,2023,7/13/2023,Krause Lagoon,"A, B, C","LU, KWG, DG, JS, KH, AJH, AD",Offloads at A-C,N,N,Y,,
Summer Offloads 2023,2023,7/13/2023,Great Pond,"A, B, C","LU, KWG, DG, JS, KH, AJH, AD",Offloads at A-C,N,N,Y,,
Summer Offloads 2023,2023,7/24/2023,Brewers Bay,"A, B, C","KH, DG, JS",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,7/24/2023,Perseverance Bay,"A, B, C","KH, DG, JS",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,7/25/2023,Vessup Bay,"A, B, C","KH, DG, JS",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,7/25/2023,Compass Point,"A, B, C",,Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,7/28/23,Mandahl Bay,"A, B, C",KH,Offloads at A-C,,,N,,
Summer Offloads 2023,2023,7/28/23,STEER Fringe,"A, B, C",KH,Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/2/2023,Magens Bay,"A, B, C","LB, AND, AJH",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/14/2023,STEER Basin,"A, B, C","AJH, AND, LP",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/22/2023,Princess Bay,"A, B, C","LU, LB, AND",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/22/2023,Lameshur Bay,"A, B, C","AND, LP, LU",Offloads at A-C,,,Y,,
Summer Offloads 2023 ,2023,8/23/2023,Francis Bay,"A, B, C","LU, AJH, KH",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/23/2023,Mary Creek,"A, B, C","LU, KH, AJH",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/23/2023,Water Creek,"A, B, C","AJH, LU, KH",Offloads at A-C,,,Y,,
Summer Offloads 2023,2023,8/23/2023,Reef Bay,"A, B, C","LU, AND, AJH",Offloads at A-C,,,Y,,
"Fall Offloads, Year 2 Regen",2023,11/21/2023,Mandahl Bay,"A, B, C","AND, JP, LP","Offloads at A-C (no YSI), Regen at A-C",Y (n=2),N,N,,
Year 3 (all TMMP),2024,6/5/24,Brewers Bay,A,,,,,,,
Year 3 (all TMMP),2024,6/7/24,Mandahl Bay,"A, B",,,,,,,
Year 3 (all TMMP),2024,6/10/24,Brewers Bay,A,,,,,,,
Year 3 (all TMMP),2024,6/10/24,Mandahl Bay,C,,,,,,,
Year 3 (all TMMP),2024,6/11/24,Compass Point,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,6/12/24,Perseverance Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,6/13/24,Vessup Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,6/17/24,Brewers Bay,"B, C",,,,,,,
Year 3 (all TMMP),2024,6/18/24,STEER Basin,"A,B",,,,,,,
Year 3 (all TMMP),2024,7/5/24,STEER Fringe,"A, B",,,,,,,
Year 3 (all TMMP),2024,7/8/24,STEER Basin,C,,,,,,,
Year 3 (all TMMP),2024,7/8/24,STEER Fringe,C,,,,,,,
Year 3 (all TMMP),2024,7/9/24,Magens Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,7/17/24,Francis Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,7/18/24,Princess Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,7/19/24,Magens Bay,C,,,,,,,
Year 3 (all TMMP),2024,7/22/24,Great Pond,"B, C",,,,,,,
Year 3 (all TMMP),2024,7/22/24,SouthGate,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,7/23/24,Krause Lagoon,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,7/24/24,Salt River,"A, B, C ",,,,,,,
Year 3 (all TMMP),2024,7/24/24,Great Pond,A,,,,,,,
Year 3 (all TMMP),2024,8/6/24,Lameshur Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,8/7/24,Turner Bay,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,8/8/24,Water Creek,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,8/9/24,Mary Creek,"A, B, C",,,,,,,
Year 3 (all TMMP),2024,9/18/24,Reef Bay,"A, B, C",,,,,,,
Summer Offloads 2023 ,2023,8/22/2023,Turner Bay,"A, B, C","LU, AD, LB",Offloads at A-C,,,Y,,
